timestamp_utc,model,requested_device,execution_provider,runtime,runtime_version,host_arch,host_os,backend_name,runs,load_seconds,mean_infer_ms,median_infer_ms,p90_infer_ms,model_size_mb,eval_samples,correct,accuracy,max_abs_p_diff,power_source,eval_detail
2026-07-09T12:12:06Z,tsc,CPU,CPUExecutionProvider,onnxruntime,1.24.4,x64,Windows 11 (build 26100),ONNX Runtime (classifier),20,0.270611,79.0225,79.2193,84.2136,328.565,15,14,0.933333,4.97893e-10,ac,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909333|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990409|0.990409;scam_6|scam|scam|0.972070|0.972070;scam_7|scam|scam|0.940432|0.940432;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013058|0.013058;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439
2026-07-09T12:12:30Z,fakeaudio,CPU,CPUExecutionProvider,onnxruntime,1.24.4,x64,Windows 11 (build 26100),ONNX Runtime (classifier),20,0.248395,65.6839,65.6529,71.7669,127.845,5,3,0.6,3.10145e-10,ac,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998115|0.998115;real_1|real|deepfake|0.999452|0.999452;real_2|real|deepfake|0.998430|0.998430;real_3|real|real|0.004814|0.004814
2026-07-09T12:12:44Z,tsc,GPU,DmlExecutionProvider,onnxruntime-directml,1.24.4,x64,Windows 11 (build 26100),ONNX Runtime (classifier),20,1.33926,36.6378,36.587,37.7154,328.565,15,14,0.933333,1.11074e-06,ac,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909334|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990408|0.990409;scam_6|scam|scam|0.972071|0.972070;scam_7|scam|scam|0.940432|0.940432;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013058|0.013058;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439
2026-07-09T12:13:01Z,fakeaudio,GPU,DmlExecutionProvider,onnxruntime-directml,1.24.4,x64,Windows 11 (build 26100),ONNX Runtime (classifier),20,0.795225,38.1246,37.8187,40.799,127.845,5,3,0.6,1.26504e-07,ac,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998115|0.998115;real_1|real|deepfake|0.999452|0.999452;real_2|real|deepfake|0.998430|0.998430;real_3|real|real|0.004814|0.004814
2026-07-09T15:00:33Z,tsc,CPU,CPUExecutionProvider,onnxruntime,1.24.4,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.655136,209.256,198.204,300.518,328.565,15,14,0.933333,4.55356e-10,battery,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909333|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990409|0.990409;scam_6|scam|scam|0.972070|0.972070;scam_7|scam|scam|0.940434|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013057|0.013057;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439
2026-07-09T15:00:50Z,fakeaudio,CPU,CPUExecutionProvider,onnxruntime,1.24.4,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,1.27202,148.587,142.377,177.619,127.845,5,3,0.6,2.25689e-08,battery,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998115|0.998115;real_1|real|deepfake|0.999452|0.999452;real_2|real|deepfake|0.998430|0.998430;real_3|real|real|0.004814|0.004814
2026-07-09T15:01:38Z,tsc,GPU,DmlExecutionProvider,onnxruntime-directml,1.24.4,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,2.11215,40.3565,39.2417,42.0805,328.565,15,14,0.933333,1.58922e-06,battery,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909334|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990408|0.990409;scam_6|scam|scam|0.972070|0.972070;scam_7|scam|scam|0.940432|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013058|0.013057;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439
2026-07-09T15:02:27Z,tsc,GPU,DmlExecutionProvider,onnxruntime-directml,1.24.4,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.772046,39.4134,39.0367,40.6284,328.565,15,14,0.933333,1.58922e-06,battery,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909334|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990408|0.990409;scam_6|scam|scam|0.972070|0.972070;scam_7|scam|scam|0.940432|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013058|0.013057;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439
2026-07-09T15:02:37Z,fakeaudio,GPU,DmlExecutionProvider,onnxruntime-directml,1.24.4,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.737679,78.7231,78.4476,82.5895,127.845,5,3,0.6,1.62457e-07,battery,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998115|0.998115;real_1|real|deepfake|0.999452|0.999452;real_2|real|deepfake|0.998430|0.998430;real_3|real|real|0.004814|0.004814
2026-07-09T15:03:29Z,fakeaudio,GPU,DmlExecutionProvider,onnxruntime-directml,1.24.4,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.618524,74.2,74.3424,80.7453,127.845,5,3,0.6,1.62457e-07,battery,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998115|0.998115;real_1|real|deepfake|0.999452|0.999452;real_2|real|deepfake|0.998430|0.998430;real_3|real|real|0.004814|0.004814
